Code,Harvest,Litter,Initial (start) FM,Initial (start) DM,Start water content,FM at harvest,DM at harvest,Water content at harvest,Mass loss,Cellulase,Chitinase,Phosphatase,Protease,Peroxydase,Phenoloxidase,Amino acid concentration,Gross protein depolymerization,Gross amino acid immobilization,Gross N mineralization,Gross NH4 immobilization,Gross nitrification,Gross NO3 immobilization,Gross P mineralization,Gross P immobilization,Glucan Gross Depolymerisation,Glucan Net Depolymerisation,Glucose Gross Consumption,Glucose concentration,Acid detergent fibre,Cellulose,Lignin not ash corrected,Starch,NH4 concentration,NO3 concentration,PO4 concentration,TDP,Respiration,C_lit,N_lit,P_lit,C:N_lit,C:P_lit,N:P_lit,K litter,CA litter,MG litter,FE litter,MN litter,ZN litter,C_mic,N_ mic,P_mic,C:N_mic,C:Pmic,N:Pmic,DOC,TN,DON,DOC_k2SO4,TN_K2SO4,pH H2O,total PFLA content,identified PLFA content ,approx. Fungal Biomass,main fungal marker 18:2(9),Sum of gram positiv markers,Sum of general bacterial markers incl. gram+,ratioF/B 1,ratioF/B 2,ratioF/B 3,conc_acc_resp_dw,conc_acc_resp_dw_se,cons_acc_resp_litC,cons_acc_resp_litC_se,f2b_qpcr
E1-K-IV-E,IV,KL,60.38,24.15,60,48.82,21.84,55.27,9.59,106.49,92.15,399.49,1.29,-0.506,0.086,,,,17.65,27.24,,,37.66,79.56,,,,,,,,,17.425434684,6.9318344452,24.1524219078,47.8959544208,32.7,45.79,0.95,0.029,48.2,1578.9655172414,32.7586206897,0.53,1.31,0.16,193,1490.5,37,2.606,0.227,0.1228739053,11.4801762115,21.208734213,1.8474223585,5.514,0.2,,3.068,0.136,7,,,,,,,,,,0.0993160783,0.0036563831,0.2003882025,0.0106777477,17.059174
E1-K-IV-F,IV,KL,60.53,24.21,60,41.81,21.81,47.84,9.93,88.36,101.97,292.83,1.03,-0.338,0.075,,,,10.45,16.35,17.35,18.57,20.51,76.24,,,,,,,,,16.2913454126,7.0281226005,39.3683641425,61.26741342,30.28,46.12,0.97,0.027,47.5463917526,1708.1481481482,35.9259259259,0.55,1.36,0.16,183,1405,38.5,3.084,0.26,0.0980150414,11.8615384615,31.4645584492,2.6526540846,2.556,,,2.788,0.132,7,,,,,,,,,,0.0993160783,0.0036563831,0.2003882025,0.0106777477,10.964678
E1-O-I-A,I,OS,62.12,24.85,60,42.92,24.6,42.69,1,0.157,0.087,1.581,0.195,0.457,0.378,9.28,423.08,560.98,17.56,7.66,9.94,6.2,62.8,56.61,924.7,-986.07,1910.77,296.32,,,,,6.1291653148,2.2912101147,72.216948468,302.0912214651,80.17,48.68,0.83,0.052,58.6506024096,936.1538461538,15.9615384615,0.21,1.67,0.2,442,765,40,2.258,0.156,0.1145416745,14.4743589744,19.7133489588,1.3619497066,2.84,0.089,-2.02,3.43,0.126,6.5,,,,,,,,,,0.001755652,6.9612121304881E-005,0.0036758343,0.0001457479,32.311509
E1-O-I-B,I,OS,62.38,24.95,60,37.4,24.7,33.95,1,0.119,0.085,0.945,0.1,0.576,0.355,10.32,278.91,656.66,13.02,10.85,14.1,11.44,111.58,128.93,1149.12,-1241.73,2390.85,290.2,,,,,5.9153398064,1.7818915712,97.7433474907,245.8502866824,79.4,48.61,0.84,0.055,57.869047619,883.8181818182,15.2727272727,0.21,1.59,0.2,458,757,36,1.204,0.105,0.1061650333,11.4666666667,11.3408338135,0.9890262047,2.968,0.093,-1.8,3.781,0.134,6.5,,,,,,,,,,0.001755652,6.9612121304881E-005,0.0036758343,0.0001457479,40.446876
E1-O-I-C,I,OS,62.17,24.87,60,39.42,24.62,37.55,1,0.218,0.12,1.085,0.135,0.921,0.485,7.13,373.6,621.69,11.36,8.62,6.77,7.03,108.76,142.68,1259.72,-811.96,2071.68,182.66,,,,,6.5459227161,2.1701775945,87.6360157096,246.322673735,71.1,47.23,0.79,0.054,59.7848101266,874.6296296296,14.6296296296,0.21,1.64,0.2,445,794,34,1.698,0.133,0.1116626302,12.7669172932,15.206519833,1.1910878314,2.914,0.079,-2.79,3.682,0.127,6.5,,,,,,,,,,0.001755652,6.9612121304881E-005,0.0036758343,0.0001457479,17.83109
E1-O-I-D,I,OS,60.85,24.34,60,36.14,24.1,33.33,1,0.066,0.093,1.051,0.155,0.735,0.189,10.32,487.02,481.74,9.64,8.17,14.51,10.52,74.51,104.1,862.26,-1890.62,2752.88,468.52,,,,,6.2093685469,2.0363241916,80.3987577297,231.1298488831,65.21,49.03,0.8,0.052,61.2875,942.8846153846,15.3846153846,0.21,1.62,0.2,495,799,35,1.866,0.126,0.1179957068,14.8095238095,15.8141346873,1.0678354612,3.09,0.079,-2.38,3.731,0.134,6.4,,,,,,,,,,0.001755652,6.9612121304881E-005,0.0036758343,0.0001457479,17.728703
E1-O-I-E,I,OS,62.38,24.95,60,36.18,24.7,31.72,1,0.11,0.065,1.031,0.105,0.355,0.422,11,833.8,791.43,19.89,13.07,30.66,31.92,65.46,87.8,2741.67,-1028.35,3770.02,764.35,,,,,8.6962776779,2.1861778939,110.2209491527,274.1229641279,72.86,47.18,0.77,0.053,61.2727272727,890.1886792453,14.5283018868,0.2,1.65,0.19,426,765,35,0.759,0.08,0.0841031353,9.4875,9.0246338276,0.9512130517,3.82,0.102,-3.49,4.791,0.172,6.3,,,,,,,,,,0.001755652,6.9612121304881E-005,0.0036758343,0.0001457479,20.466835
E1-O-II-A,II,OS,60.88,24.35,60,42.19,26.51,37.16,-8.86,14.379,7.151,30.65,1.68,0.886,0.943,10.48,141.69,416.48,21.47,20.79,39.9,39.69,48.94,40.72,578.82,-333.92,912.73,81.13,46.97,25.08,20.85,0.2,7.8931567656,1.9497884166,116.2161842432,194.4883577884,30.13,48.52,0.78,0.053,62.2051282051,915.4716981132,14.7169811321,0.2,1.66,0.2,461,761,35,2.43,0.237,0.117167079,10.253164557,20.739614075,2.0227524839,2.423,0.061,-3.3,3.139,0.1,7.1,371.98,1586.08,21.91,258.55,50.99,664.75,5.07,0.0497,1.2545,0.0160606299,0.0006625956,0.0336263765,0.0013872862,21.677255
E1-O-II-B,II,OS,61.87,24.75,60,49.93,24.59,50.75,0.62,11.598,6.661,37.528,1.885,0.728,0.794,10.06,79.67,199.06,44.91,54.36,59.36,60.71,73.2,92.7,415.96,-127.58,543.55,50.13,48.38,23.65,23.65,0.17,10.3002189992,2.6928528725,134.024335894,212.6952892022,36.23,49.28,0.82,0.052,60.0975609756,947.6923076923,15.7692307692,0.2,1.72,0.2,462,769,40,2.61,0.293,0.1549365828,8.9078498294,16.8456019448,1.8910963103,2.817,0.07,-3.37,3.631,0.115,7,466.66,2012.59,27.75,327.43,77.08,832.52,4.25,0.0747,1.2749,0.0160606299,0.0006625956,0.0336263765,0.0013872862,17.312155
E1-O-II-C,II,OS,62.14,24.86,60,49.88,25.38,49.12,-2.11,10.951,5.93,31.813,1.591,0.894,0.91,9.71,248.59,430,9.81,7.91,41.46,63.11,73.81,158.42,,-356.1,339.55,56.21,34.1,23.33,10,0.17,10.1612472305,2.797102271,117.8441010558,200.7768324076,49.17,48.05,0.81,0.056,59.3209876543,858.0357142857,14.4642857143,0.2,1.66,0.21,537,787,41,2.75,0.274,0.180382891,10.0364963504,15.2453482942,1.5189910664,1.974,0.047,-4.27,3.103,0.107,7,380.64,1679.48,25.56,301.55,57.15,692.42,5.28,0.0663,1.293,0.0160606299,0.0006625956,0.0336263765,0.0013872862,14.911714
E1-O-II-D,II,OS,62.06,24.82,60,47.36,25.8,45.53,-3.93,8.695,5.668,31.497,2.509,1.077,1.455,8.03,101.85,308.5,15.92,16.05,32.94,41.21,58.17,117.18,509.03,-312.13,821.16,62.52,36.7,20.34,15.54,,9.7279819596,2.1694572987,110.3277818841,201.992640031,37.84,47.31,0.78,0.053,60.6538461538,892.641509434,14.7169811321,0.2,1.71,0.21,580,763,43,2.781,0.273,0.1416058222,10.1868131868,19.6390229995,1.9278868317,2.225,0.058,-3.68,3.326,0.108,7.1,417.36,1833.53,27.48,324.31,71.35,759.98,4.55,0.0955,1.273,0.0160606299,0.0006625956,0.0336263765,0.0013872862,26.217671
E1-O-II-E,II,OS,61.09,24.44,60,42.93,25.25,41.19,-3.32,6.495,5.542,24.931,1.507,0.604,0.763,8.64,242.12,324.13,17.97,17.2,37.5,45.94,42.68,40.72,522.81,-215.74,738.55,65.8,,,,0.17,8.6073331496,2.333166399,127.6464735801,203.6113444149,,47.93,0.79,0.05,60.6708860759,958.6,15.8,0.2,1.59,0.2,466,758,41,2.804,0.252,0.1503965162,11.126984127,18.6440488854,1.6755707272,2.191,0.054,-3.68,2.982,0.104,6.9,449.72,1929.92,29.51,348.19,74.85,794.09,4.65,0.0412,1.2826,0.0160606299,0.0006625956,0.0336263765,0.0013872862,15.507339
E1-O-III-A,III,OS,61.05,24.42,60,51.7,23.52,54.51,3.69,2.986,1.805,29.868,1.825,0.741,0.567,5.66,303.13,192.3,5.66,5.12,28.6,28.79,35.57,1.44,407.48,-113.5,520.98,28.06,44.12,23.86,19.28,0.01,9.7589178396,3.4669353762,138.4881861462,229.2595780852,25.11,47.55,0.82,0.053,57.987804878,897.1698113208,15.4716981132,0.21,1.71,0.21,507,794,36,3.862,0.415,0.1720703973,9.3060240964,22.4443022211,2.4118035789,2.035,0.062,-8.57,2.643,0.091,6.8,186.25,822.59,13.07,154.17,46.75,372.4,3.3,0.0138,1.0325,0.0308971501,0.0008706802,0.0649782336,0.0014535472,15.790098
E1-O-III-B,III,OS,61.95,24.78,60,51.96,24.62,52.61,0.64,2.626,1.95,29.987,1.809,0.682,0.543,5.34,232.21,236.9,5.88,3.49,13.46,15.18,37.6,14.43,214.1,-64.59,278.7,23.29,31.84,19.21,11.92,0.15,9.4596993391,2.8691868808,111.6471133105,205.8497591131,41.37,47.78,0.78,0.053,61.2564102564,901.5094339623,14.7169811321,0.2,1.72,0.21,460,801,38,3.736,0.341,0.1757901481,10.9560117302,21.252613073,1.939812917,1.811,0.052,-7.42,2.409,0.097,6.7,188.44,851.74,11.61,137.01,58.35,425.08,2.35,0.0096,0.857,0.0341166094,0.0008706802,0.0714035358,0.0014535472,15.569988
E1-O-III-C,III,OS,61.52,24.61,60,52.24,25.46,51.26,-3.47,2.418,1.834,31.249,1.968,0.736,0.589,6.09,219.71,176.5,8.44,10.92,19.91,26.22,44.68,37.58,328.05,-53.15,381.2,22.36,41.46,19.6,20.93,0.12,11.1345234853,3.2323730959,91.9476921825,215.4772158746,34.63,48.37,0.85,0.056,56.9058823529,863.75,15.1785714286,0.37,1.48,0.18,328,1490,39,2.878,0.332,0.144887717,8.6686746988,19.8636575884,2.2914295759,1.967,0.058,-9.08,2.522,0.105,6.8,227.77,1021.1,16.35,192.97,55.74,478.52,3.46,0.0038,0.9831,0.0337050565,0.0008706802,0.0696817376,0.0014535472,31.084047
E1-O-III-D,III,OS,60.86,24.34,60,51.86,24.56,52.64,-0.91,3.176,2.496,31.178,2.415,1.066,0.853,6.08,277.15,292.35,7.37,5.47,14.74,11.46,31.42,1.44,160.43,-35.1,195.53,15.43,36.44,17.5,18.13,,11.0448331454,3.3390579418,102.6272137765,229.7318505316,27.41,48.43,0.83,0.05,58.3493975904,968.6,16.6,0.22,1.69,0.21,484,756,37,3.012,0.331,0.1557577106,9.0996978852,19.3377264533,2.1250954369,2.17,0.059,-8.88,2.732,0.106,6.8,298.59,1339.02,17.41,205.48,78.4,659.58,2.62,0.0031,0.8919,0.0344835713,0.0008706802,0.071202914,0.0014535472,23.833588
E1-O-III-E,III,OS,61.86,24.75,60,52.55,25.14,52.16,-1.59,4.179,2.642,31.853,1.649,0.846,0.683,5.7,275.5,119.84,10.52,12.11,,,31.2,1.44,231.68,-49.22,280.9,20.36,43.14,21.09,21.09,0.15,10.8510236542,4.1062972667,113.5443990104,215.2016933399,32.94,46.68,0.86,0.048,54.2790697674,972.5,17.9166666667,0.21,1.76,0.2,448,770,37,2.951,0.302,0.1554313762,9.7715231788,18.9858706265,1.9429796439,1.976,0.06,-7.75,2.802,0.134,6.8,266.77,1190.98,15.24,179.83,70.84,583.07,2.54,0.0078,0.8877,0.0303097289,0.0008706802,0.0649308674,0.0014535472,18.38941
E1-O-IV-B,IV,OS,61.12,24.45,60,46.76,22.91,51,6.29,84.77,77.94,277.07,1.11,-0.211,0.063,,,,10.6,12.67,6.35,2.31,25.81,1.58,,,,,,,,,12.889921817,5.4564753121,145.1459902443,197.6598659219,23.63,44.9,0.79,0.05,56.835443038,898,15.8,0.2,1.75,0.22,463,790,37,2.634,0.194,0.1138192308,13.5773195876,23.1419592424,1.7044571348,1.496,,,2.207,0.102,7,,,,,,,,,,0.0687927111,0.0008706802,0.1433995537,0.0051057359,8.156558
E1-O-IV-C,IV,OS,60.4,24.16,60,49.44,22.37,54.75,7.4,104.2,104.86,319.21,1.32,-0.771,0.138,,,,14.35,15.35,16.93,17.62,44,86.45,,,,,,,,,17.1232423279,6.397037699,132.3263409655,194.95676799,41.25,44.92,0.77,0.048,58.3376623377,935.8333333333,16.0416666667,0.2,1.69,0.21,424,734,35.5,2.694,0.207,0.1565779973,13.0144927536,17.2054825434,1.3220248279,2.121,,,2.384,0.105,7,,,,,,,,,,0.0687927111,0.0008706802,0.1433995537,0.0051057359,12.403287
E1-O-IV-D,IV,OS,60.7,24.28,60,47.6,22.62,52.49,6.86,158.25,102.14,335.3,1.4,-0.489,0.083,,,,9.47,10.88,20.8,21.45,18.64,26.87,,,,,,,,,13.1955306262,5.9259113546,137.7941033055,193.6748985501,27.63,44.92,0.79,0.05,56.8607594937,898.4,15.8,0.2,1.74,0.22,434,791,39.5,2.947,0.209,0.1220122325,14.1004784689,24.1533159452,1.7129430039,1.676,,,2.208,0.097,7,,,,,,,,,,0.0687927111,0.0008706802,0.1433995537,0.0051057359,11.635054
E1-O-IV-E,IV,OS,60.03,24.01,60,48.67,23.01,52.73,4.19,150.91,119.16,335.42,1.61,-0.427,0.082,,,,11.54,13.77,14.18,14.88,26.71,15.78,,,,,,,,,9.5473061437,4.3969553536,101.4686993504,163.6130558863,34.57,44.69,0.76,0.047,58.8026315789,950.8510638298,16.170212766,0.2,1.74,0.21,403,749.5,38,2.742,0.224,0.1693800725,12.2410714286,16.1884450762,1.3224696196,2.009,,,2.176,0.091,6.9,,,,,,,,,,0.0687927111,0.0008706802,0.1433995537,0.0051057359,10.644346
E1-O-IV-F,IV,OS,61.65,24.66,60,49.35,23.56,52.27,4.48,119.2,125.43,329.28,1.14,-2.598,0.319,,,,13.62,13.84,13.81,15.11,16.79,1.58,,,,,,,,,14.3474897007,5.9220032625,137.7032291741,196.9750385916,36.79,44.91,0.73,0.045,61.5205479452,998,16.2222222222,0.2,1.69,0.21,308,734.5,38,3.215,0.242,0.0967281232,13.2851239669,33.2374897082,2.5018577012,1.66,,,2.29,0.103,7,,,,,,,,,,0.0687927111,0.0008706802,0.1433995537,0.0051057359,11.903234
E1-S-I-A,I,SW,62.12,24.85,60,38.04,24.6,35.33,1,0.891,0.365,2.451,0.102,1.113,0.907,38.54,550.98,498.84,28.01,20.01,14.62,24.81,143.22,237.42,789.24,-1440.52,2229.76,1031.21,,,,,12.9335944551,2.5853283753,176.3466823711,378.0444738193,159.2,49.6,1.14,0.073,43.5087719298,679.4520547945,15.6164383562,0.56,1.21,0.15,207,2215,41,1.932,0.143,0.1106257287,13.5104895105,17.464291738,1.2926468522,6.885,0.161,-0.28,11.608,0.333,6.3,,,,,,,,,,0.0032666359,0.0005813318,0.0066343797,0.0011806568,85.399044
E1-S-I-B,I,SW,61.55,24.62,60,40.81,24.37,40.27,1,1.272,0.587,1.683,0.164,0.913,0.828,32.42,468.35,720.95,35.62,22.53,32.29,47.92,234.24,359.93,716.36,-1204.09,1920.45,805.12,,,,,11.1742487326,3.0840210347,109.8807586741,372.8300914947,110.38,48.16,1.23,0.07,39.1544715447,688,17.5714285714,0.55,1.26,0.15,192,2146,45,3.105,0.3,0.1115295506,10.35,27.8401552228,2.6898700698,10.426,0.221,0.9,11.151,0.308,6.5,,,,,,,,,,0.0032666359,0.0005813318,0.0066343797,0.0011806568,61.122547
E1-S-I-C,I,SW,61.25,24.5,60,42.82,24.26,43.36,1,1.462,0.587,2.221,0.184,0.98,0.915,28.7,454.26,434.47,24.29,24.03,15.99,20.75,211.48,349.7,,-2256.62,1944.12,786.43,,,,,11.4521582435,3.4277506723,130.2064431778,352.4422394355,207.07,49.81,1.16,0.07,42.9396551724,711.5714285714,16.5714285714,0.55,1.21,0.15,193,2131,43,2.792,0.259,0.1582671027,10.7799227799,17.6410634411,1.6364740083,11.311,0.253,3.37,12.313,0.349,6.1,,,,,,,,,,0.0032666359,0.0005813318,0.0066343797,0.0011806568,115.250235
E1-S-I-D,I,SW,61.23,24.49,60,37.43,24.25,35.21,1,1.205,0.533,1.813,0.184,0.814,0.987,34.12,77.23,879.65,37.47,25.18,25.07,31.78,818.44,927.97,179.84,-47.2,227.04,914.71,,,,,12.5083276064,3.0488216473,130.1295991801,327.7452434886,152.56,48.27,1.15,0.071,41.9739130435,679.8591549296,16.1971830986,0.53,1.26,0.15,189,2241,42,1.782,0.133,0.1085844747,13.3984962406,16.411185902,1.2248528198,6.365,0.136,0.77,12.128,0.359,6.4,,,,,,,,,,0.0032666359,0.0005813318,0.0066343797,0.0011806568,278.858453
E1-S-I-E,I,SW,61.33,24.53,60,28.74,24.29,15.48,1,0.374,0.068,1.883,0.072,0,1.307,56.06,510.27,83.69,85.07,101.96,22.2,40.63,249,378.97,44.72,-2073.83,2118.55,2377.64,,,,,17.8319336339,3.4397204819,252.4881386456,229.9475145196,178.33,48.65,1.18,0.067,41.2288135593,726.1194029851,17.6119402985,0.55,1.19,0.15,180,1952,41,,0.014,0.2388702576,,0,0.0586092222,7.841,0.154,-4.47,14.554,0.481,6.6,,,,,,,,,,0.0032666359,0.0005813318,0.0066343797,0.0011806568,350.357854
E1-S-II-A,II,SW,61.47,24.59,60,47.58,25.76,45.85,-4.78,27.897,17.437,34.518,2.136,2.076,2.032,15.07,196.22,468.63,79.58,105.5,63.01,75.87,110.51,157.49,1102.14,-682.09,1784.23,171.57,35.49,19.29,15.4,0.08,21.3393642074,4.4272587468,137.9762146865,242.1484743892,36.83,48.44,1.21,0.071,40.0330578512,682.2535211268,17.0422535211,0.55,1.33,0.16,208,2259,44,2.807,0.414,0.156352584,6.7801932367,17.9530131745,2.6478615797,6.968,0.163,-5.05,8.693,0.274,7.1,464.41,1988.84,21.42,252.77,70.65,1024.74,3.58,0.0522,0.7888,0.0246380033,0.0008893816,0.0500385949,0.001806291,22.66446
E1-S-II-B,II,SW,61.11,24.44,60,49.18,24.94,49.29,-2.04,21.708,18.165,38.298,2.308,1.633,1.867,12.95,213.72,416.52,76.28,88.2,93.55,125.44,93.78,103.31,636.67,-281.81,918.48,77.83,36.9,20.04,16.04,0.09,18.7382286347,3.763184573,123.5680292383,235.0678269081,,49.04,1.2,0.069,40.8666666667,710.7246376812,17.3913043478,0.56,1.32,0.16,187,2252,48,2.692,0.417,0.1714167987,6.4556354916,15.7044118255,2.4326670621,7.031,0.164,-1.85,8.655,0.255,7,473.22,1985.99,27.04,319.07,45.5,887.19,7.01,0.0477,1.0143,0.0246380033,0.0008893816,0.0500385949,0.001806291,13.80472
E1-S-II-C,II,SW,61.45,24.58,60,48.24,23.95,50.36,2.57,19.299,15.516,40.102,2.083,1.621,1.969,12.85,137.95,382.82,64.52,70.94,93.34,124.81,69.08,44.37,1309.71,-215.31,1525.02,87.25,34.8,17.17,16.85,,19.2506728048,4.5496085929,162.3367535442,282.1148465646,40.76,48.98,1.23,0.072,39.8211382114,680.2777777778,17.0833333333,0.56,1.31,0.15,207,2320,47,2.872,0.42,0.1512265931,6.8380952381,18.991368792,2.777289308,8.268,0.182,-0.29,9.557,0.284,7,554.91,2347.68,28.34,334.46,75.21,1175.75,4.45,0.0549,0.8477,0.0246380033,0.0008893816,0.0500385949,0.001806291,19.816466
E1-S-II-D,II,SW,61.7,24.68,60,43.89,24.9,43.26,-0.91,16.969,12.556,34.351,1.007,2.336,1.424,13.63,151.13,251.66,68.64,87.73,53.38,62.32,78.92,86.06,805.22,-562.47,1367.69,169.75,37.07,21.48,14.77,0.12,15.561148103,3.6968029147,207.1879839374,319.4635902953,53.81,49.02,1.23,0.067,39.8536585366,731.6417910448,18.3582089552,0.55,1.29,0.17,227,2177,48,3.009,0.35,0.1185851954,8.5971428571,25.3741623562,2.9514645479,7.833,0.094,0.58,9.364,0.276,7,623.46,2664.76,32.79,386.98,93.48,1352.99,4.14,0.0319,0.8163,0.0246380033,0.0008893816,0.0500385949,0.001806291,28.926303
E1-S-II-E,II,SW,61.12,24.45,60,43.62,24.66,43.47,-0.85,11.309,12.436,28.738,1.344,0.602,0.872,14.62,249.89,373.98,31.99,34.71,39.78,44.06,,,2234.52,-704.89,2939.41,199.84,38.99,20.69,17.43,,17.4483659405,4.329673967,154.9226384135,265.0285194146,46.43,48.29,1.18,0.072,40.9237288136,670.6944444444,16.3888888889,0.54,1.34,0.17,243,2347,59,3.07,0.336,0.1398331993,9.1369047619,21.9547290333,2.4028628518,8.357,0.17,-4.45,7.755,0.239,6.9,551.54,2366.49,33.95,400.62,49.59,1111.07,8.08,0.0461,0.9616,0.0246380033,0.0008893816,0.0500385949,0.001806291,27.275973
E1-S-III-A,III,SW,61.92,24.77,60,52.84,22.71,57.01,8.29,10.911,6.365,39.312,1.994,2.607,2.527,21.16,674.2,472.25,,,62.66,79.57,56.26,53,267.58,-189.59,457.17,54.35,30.32,17.59,12.05,,42.7734351893,7.4808856137,119.7120027192,255.6712508087,66.7,49.17,1.08,0.069,45.5277777778,712.6086956522,15.652173913,0.55,1.35,0.16,202,2354,46,8.574,0.669,0.2629087671,12.8161434978,32.6120733611,2.5446089432,8.224,0.232,-32.15,6.67,0.281,6.9,360.84,1634.95,23.03,271.78,55.89,813.13,4.86,0.0076,0.821,0.049921061,0.0015913726,0.1015274781,0.0032310536,16.691828
E1-S-III-B,III,SW,61.35,24.54,60,51.99,23.51,54.79,4.21,9.89,6.941,38.208,2.09,2.152,2.282,11.84,387.06,216.99,34.82,41.57,48.63,57.33,68.33,6.27,282.39,-163.49,445.88,38.29,32.81,17.2,14.87,0.14,29.108019297,6.8772475629,128.4790259758,262.0012942066,84.85,49.16,1.26,0.074,39.0158730159,664.3243243243,17.027027027,0.59,1.27,0.18,214,2473,48,6.977,0.599,0.2423812472,11.6477462437,28.7852302107,2.4713133003,6.262,0.174,-20.61,6.397,0.252,6.8,278.51,1260.06,14.06,165.93,72.92,684.96,2.28,0.007,0.6534,0.0453150072,0.0015913726,0.0921786151,0.0032310536,11.541034
E1-S-III-C,III,SW,61.05,24.42,60,50.72,23.82,53.04,2.46,7.63,7.039,35.325,2.208,2.499,2.426,13.93,781.65,410.67,53.86,71.86,54.01,65.8,79.24,86.81,290.05,-150.16,440.21,35.68,32.83,18.11,13.99,0.05,26.2807563884,7.3207263194,104.9766506046,230.7074174712,72.84,49.35,1.32,0.065,37.3863636364,759.2307692308,20.3076923077,0.52,1.27,0.16,186,2098,45,6.734,0.594,0.2430150629,11.3367003367,27.7102164795,2.4442929297,6.24,0.17,-21.55,5.456,0.208,6.9,96.48,438.44,6.23,73.55,19.67,217.68,3.74,0.0073,0.8068,0.049323518,0.0015913726,0.0999463384,0.0032310536,14.455876
E1-S-III-D,III,SW,61.25,24.5,60,51.75,23.3,54.98,4.9,8.334,8.255,45.358,1.761,2.196,1.709,17.61,408.3,372.61,50.59,64.36,45.89,45.7,70.74,90.25,284.01,-169.82,453.82,42.41,35.48,17.65,17.04,0.07,32.3366326246,7.1545092051,106.620873311,233.2321294988,117.17,49.24,1.25,0.07,39.392,703.4285714286,17.8571428571,0.55,1.29,0.17,206,2267,44,7.872,0.679,0.2692916032,11.5935198822,29.232251979,2.5214302711,7.608,0.183,-25.27,6.469,0.234,6.8,,,,,,,,,,0.0478914685,0.0015913726,0.097261309,0.0032310536,
E1-S-III-E,III,SW,61.12,24.45,60,50.98,23,54.88,5.92,8.58,6.454,33.679,1.36,2.072,2.321,17.89,278.13,424.45,68.29,89.82,55.03,60.88,81.87,111.72,977.07,-437.75,1414.82,110.28,43.57,19.97,22.63,0.07,34.1536101933,7.2526217273,144.5860773281,271.8607471805,86.22,49.27,1.32,0.068,37.3257575758,724.5588235294,19.4117647059,0.55,1.4,0.17,209,2204,44,5.139,0.526,0.2007029129,9.7699619772,25.6050095458,2.6207890681,7.383,0.179,-26.29,7.175,0.248,6.9,382.35,1749.67,16.1,190.04,62.94,957.23,3.02,0.008,0.6585,0.0412173798,0.0015913726,0.0836561392,0.0032310536,
E1-S-IV-B,IV,SW,60.45,24.18,60,36.39,22.44,38.34,7.2,233.54,103.2,235.22,1.01,-0.995,0.114,,,,15.44,21.28,23.06,24.9,54.12,70.82,,,,,,,,,20.2780292147,7.1343809517,136.8742655669,382.2391246925,106.17,44.75,1.19,0.068,37.6050420168,658.0882352941,17.5,0.59,1.39,0.18,192.5,2380,47.5,3.193,0.327,0.2558892427,9.7645259939,12.4780548282,1.2778966266,3.503,,,3.884,0.17,7.1,,,,,,,,,,0.1391773412,0.0015913726,0.2839680361,0.0154565512,9.493084
E1-S-IV-C,IV,SW,60.7,24.28,60,47.52,21.57,54.6,11.15,232.07,152.48,446.25,1.63,-1.215,0.164,,,,12,17.87,25.6,28.59,73.39,95.23,,,,,,,,,16.0447536455,6.9854460216,111.003116703,371.990436608,75.19,45.54,1.23,0.074,37.0243902439,615.4054054054,16.6216216216,0.57,1.4,0.18,203,2329,48.5,4.557,0.418,0.4093498214,10.9019138756,11.1322877432,1.0211315068,3.687,,,4.263,0.165,7.2,,,,,,,,,,0.1391773412,0.0015913726,0.2839680361,0.0154565512,11.470491
E1-S-IV-D,IV,SW,60.59,24.24,60,47.04,21.8,53.66,10.05,320.03,147.91,332.19,1.18,-1.124,0.154,,,,19.03,20.36,,,40.94,87.77,,,,,,,,,16.9231521916,7.0759110504,147.0291085288,442.2308898717,75.8,46.21,1.15,0.068,40.1826086957,679.5588235294,16.9117647059,0.57,1.37,0.18,184.5,2305.5,45.5,5.635,0.435,0.3515484218,12.9540229885,16.0290863233,1.2373828839,3.855,,,4.485,0.179,7.1,,,,,,,,,,0.1391773412,0.0015913726,0.2839680361,0.0154565512,8.949115
E1-S-IV-E,IV,SW,60.05,24.02,60,48.27,20.5,57.53,14.65,308.74,145.14,374.6,1.66,-0.956,0.164,,,,16.84,17.28,36.62,31.55,91.47,171.06,,,,,,,,,16.4925421267,7.0248713407,116.6037320287,436.2221287757,61.94,45.99,1.28,0.07,35.9296875,657,18.2857142857,0.59,1.4,0.18,190.5,2269,49.5,4.637,0.422,0.4110461466,10.9881516588,11.2809718283,1.0266487193,5.108,,,4.815,0.187,7.2,,,,,,,,,,0.1391773412,0.0015913726,0.2839680361,0.0154565512,11.856596
E1-S-IV-F,IV,SW,60.51,24.2,60,50.52,21.57,57.3,10.87,352.74,183.43,390.77,1.78,-1.104,0.333,,,,19.16,20.78,62.27,41.03,66.87,103.03,,,,,,,,,16.5337572345,8.0587725956,97.2761785027,439.9253810154,45.31,46.19,1.29,0.077,35.8062015504,599.8701298701,16.7532467532,0.58,1.42,0.18,219,2376.5,50,5.691,0.462,0.3676175883,12.3181818182,15.4807609364,1.2567407402,4.999,,,4.392,0.162,7.1,,,,,,,,,,0.1391773412,0.0015913726,0.2839680361,0.0154565512,11.372051
